title,competation,time,country
Cloud9 vs Use Drone,Korean Open Summer 2020,"Sunday, Jul 26 2020, 5:00 UTC",Asia-Pacific
Malvinas Gaming vs Azules Esports,Campeonato Sudamericano 2020 Stage 1,"Friday, Jul 24 2020, 19:00 UTC",Latin America
Black Dragons vs W7M Gaming,Brasileirão 2020 Stage 1,"Sunday, Jul 26 2020, 18:30 UTC",Latin America
Team oNe Esports vs MIBR,Brasileirão 2020 Stage 1,"Thursday, Jul 30 2020, 16:00 UTC",Latin America
Santos e-Sports vs FURIA Esports,Brasileirão 2020 Stage 1,"Sunday, Jul 26 2020, 16:00 UTC",Latin America
9z Team vs LBS Esports,Campeonato Sudamericano 2020 Stage 1,"Thursday, Jul 23 2020, 23:00 UTC",Latin America
Timbers Esports vs MeT,Campeonato Mexicano 2020 Stage 1,"Monday, Jul 27 2020, 0:00 UTC",Latin America
Soniqs vs Mirage,North American League Major Qualifier 2020 Stage 1,"Monday, Jul 27 2020, 22:00 UTC",North America
Pixel Esports Club vs Chivas esports,Campeonato Mexicano 2020 Stage 1,"Monday, Jul 27 2020, 2:00 UTC",Latin America
Izako Boars vs Invicta Gaming,Polish Masters 2020,"Thursday, Jul 30 2020, 17:00 UTC",Europe
FaZe Clan vs INTZ e-Sports,Brasileirão 2020 Stage 1,"Sunday, Jul 26 2020, 21:00 UTC",Latin America
PENTA Sports vs Maestria,6 French League Season 2,"Thursday, Jul 30 2020, 16:30 UTC",Europe
Estral Esports vs Infinity Academy,Campeonato Mexicano 2020 Stage 1,"Sunday, Jul 26 2020, 22:00 UTC",Latin America
AVEZ vs PACT,Polish Masters 2020,"Thursday, Jul 30 2020, 18:00 UTC",Europe
GC Busan Spear vs Use Drone,Korean Open Summer 2020,"Sunday, Jul 19 2020, 5:00 UTC",Asia-Pacific
Timbers Esports vs Pixel Esports Club,Campeonato Mexicano 2020 Stage 1,"Sunday, Jul 19 2020, 0:00 UTC",Latin America
INTZ e-Sports vs Team oNe Esports,Brasileirão 2020 Stage 1,"Sunday, Jul 19 2020, 16:00 UTC",Latin America
Chivas esports vs MeT,Campeonato Mexicano 2020 Stage 1,"Monday, Jul 20 2020, 0:00 UTC",Latin America
Team Liquid vs MIBR,Brasileirão 2020 Stage 1,"Sunday, Jul 19 2020, 21:00 UTC",Latin America
Atheris Esports vs Estral Esports,Campeonato Mexicano 2020 Stage 1,"Sunday, Jul 19 2020, 22:00 UTC",Latin America
Team FawKes vs BeKind,6 French League Season 2,"Thursday, Jul 30 2020, 17:30 UTC",Europe
G2 Esports vs Virtus.pro,European League 2020 Stage 1,"Monday, Jul 20 2020, 16:00 UTC",Europe
Ninjas In Pyjamas vs FURIA Esports,Brasileirão 2020 Stage 1,"Sunday, Jul 19 2020, 18:30 UTC",Latin America
Rogue vs Team Vitality,European League 2020 Stage 1,"Monday, Jul 20 2020, 17:00 UTC",Europe
Talon Esports vs Faust,Korean Open Summer 2020,"Sunday, Jul 19 2020, 8:00 UTC",Asia-Pacific
Natus Vincere vs BDS Esport,European League 2020 Stage 1,"Monday, Jul 20 2020, 19:00 UTC",Europe
Tempra Esports vs Team Empire,European League 2020 Stage 1,"Monday, Jul 20 2020, 18:00 UTC",Europe
Spacestation Gaming vs Oxygen Esports,US Division 2020 Stage 1,"Monday, Jul 20 2020, 22:00 UTC",North America
Team Secret vs Chaos,European League 2020 Stage 1,"Monday, Jul 20 2020, 20:00 UTC",Europe
Disrupt Gaming vs Soniqs,US Division 2020 Stage 1,"Tuesday, Jul 21 2020, 1:00 UTC",North America
Nocturns Gaming vs Azules Esports,Campeonato Sudamericano 2020 Stage 1,"Wednesday, Jul 15 2020, 1:00 UTC",Latin America
Infamous Gaming vs Malvinas Gaming,Campeonato Sudamericano 2020 Stage 1,"Tuesday, Jul 14 2020, 21:00 UTC",Latin America
LBS Esports vs Coscu Army,Campeonato Sudamericano 2020 Stage 1,"Tuesday, Jul 14 2020, 23:00 UTC",Latin America
Team Empire vs BDS Esport,European League 2020 Stage 1,"Wednesday, Jul 15 2020, 16:00 UTC",Europe
Natus Vincere vs Virtus.pro,European League 2020 Stage 1,"Wednesday, Jul 15 2020, 18:00 UTC",Europe
DarkZero Esports vs Team SoloMid,US Division 2020 Stage 1,"Wednesday, Jul 15 2020, 22:00 UTC",North America
G2 Esports vs Team Secret,European League 2020 Stage 1,"Wednesday, Jul 15 2020, 19:00 UTC",Europe
Chaos vs Team Vitality,European League 2020 Stage 1,"Wednesday, Jul 15 2020, 20:00 UTC",Europe
Rogue vs Tempra Esports,European League 2020 Stage 1,"Wednesday, Jul 15 2020, 17:00 UTC",Europe
Xavier Esports vs CYCLOPS athlete gaming,APAC North Division 2020 Stage 1,"Thursday, Jul 16 2020, 10:30 UTC",Asia-Pacific
Cloud9 vs SCARZ,APAC North Division 2020 Stage 1,"Thursday, Jul 16 2020, 11:30 UTC",Asia-Pacific
Tempo Storm vs eUnited,US Division 2020 Stage 1,"Thursday, Jul 16 2020, 1:00 UTC",North America
FAV Gaming vs Fnatic,APAC North Division 2020 Stage 1,"Thursday, Jul 16 2020, 12:30 UTC",Asia-Pacific
9z Team vs Furious Gaming,Campeonato Sudamericano 2020 Stage 1,"Tuesday, Jul 14 2020, 19:00 UTC",Latin America
Talon Esports vs GUTS Gaming,APAC North Division 2020 Stage 1,"Thursday, Jul 16 2020, 9:30 UTC",Asia-Pacific
Q-Confirm vs Giants Gaming,APAC North Division 2020 Stage 1,"Thursday, Jul 16 2020, 13:30 UTC",Asia-Pacific
AVEZ vs SLAVGENT,Polish Masters 2020,"Thursday, Jul 9 2020, 17:00 UTC",Europe
Team Orbit vs BDS Esport,6 French League Season 2,"Thursday, Jul 9 2020, 17:30 UTC",Europe
PENTA Sports vs BeKind,6 French League Season 2,"Thursday, Jul 9 2020, 18:30 UTC",Europe
Invicta Gaming vs Hummingbirds,Polish Masters 2020,"Thursday, Jul 9 2020, 18:00 UTC",Europe
PACT vs devils.one,Polish Masters 2020,"Thursday, Jul 9 2020, 19:00 UTC",Europe
FURIA Esports vs Black Dragons,Brasileirão 2020 Stage 1,"Thursday, Jul 9 2020, 18:30 UTC",Latin America
PRIDE vs Izako Boars,Polish Masters 2020,"Thursday, Jul 9 2020, 20:00 UTC",Europe
Team FawKes vs Team Vitality,6 French League Season 2,"Thursday, Jul 9 2020, 19:30 UTC",Europe
9z Team vs Malvinas Gaming,Campeonato Sudamericano 2020 Stage 1,"Thursday, Jul 9 2020, 23:00 UTC",Latin America
Furious Gaming vs Infamous Gaming,Campeonato Sudamericano 2020 Stage 1,"Friday, Jul 10 2020, 1:00 UTC",Latin America
W7M Gaming vs FaZe Clan,Brasileirão 2020 Stage 1,"Thursday, Jul 9 2020, 21:00 UTC",Latin America
LBS Esports vs Nocturns Gaming,Campeonato Sudamericano 2020 Stage 1,"Friday, Jul 10 2020, 19:00 UTC",Latin America
9z Team vs Infamous Gaming,Campeonato Sudamericano 2020 Stage 1,"Friday, Jul 10 2020, 23:00 UTC",Latin America
Coscu Army vs Azules Esports,Campeonato Sudamericano 2020 Stage 1,"Friday, Jul 10 2020, 21:00 UTC",Latin America
Nordik Esports vs LiViD Gaming,Canada Division 2020 Stage 1,"Friday, Jul 10 2020, 22:00 UTC",North America
Furious Gaming vs Malvinas Gaming,Campeonato Sudamericano 2020 Stage 1,"Saturday, Jul 11 2020, 1:00 UTC",Latin America
Altiora vs LiViD Gaming,Canada Division 2020 Stage 1,"Friday, Jul 3 2020, 22:00 UTC",North America
W7M Gaming vs FURIA Esports,Brasileirão 2020 Stage 1,"Saturday, Jul 4 2020, 16:00 UTC",Latin America
Ninjas In Pyjamas vs Team Liquid,Brasileirão 2020 Stage 1,"Saturday, Jul 4 2020, 18:30 UTC",Latin America
FaZe Clan vs MIBR,Brasileirão 2020 Stage 1,"Saturday, Jul 4 2020, 21:00 UTC",Latin America
MeT vs Infinity Academy,Campeonato Mexicano 2020 Stage 1,"Saturday, Jul 4 2020, 22:00 UTC",Latin America
Team Liquid vs Santos e-Sports,Brasileirão 2020 Stage 1,"Sunday, Jul 5 2020, 16:00 UTC",Latin America
Pixel Esports Club vs Estral Esports,Campeonato Mexicano 2020 Stage 1,"Sunday, Jul 5 2020, 0:00 UTC",Latin America
IGP vs Samsung Morning Stars,PG Nationals Summer 2020 Finals,"Sunday, Jul 5 2020, 13:00 UTC",Europe
Timbers Esports vs Chivas esports,Campeonato Mexicano 2020 Stage 1,"Sunday, Jul 5 2020, 22:00 UTC",Latin America
FaZe Clan vs Team oNe Esports,Brasileirão 2020 Stage 1,"Sunday, Jul 5 2020, 18:30 UTC",Latin America
Team Empire vs Chaos,European League 2020 Stage 1,"Monday, Jul 6 2020, 16:00 UTC",Europe
Black Dragons vs INTZ e-Sports,Brasileirão 2020 Stage 1,"Sunday, Jul 5 2020, 21:00 UTC",Latin America
Black Dragons vs Santos e-Sports,Brasileirão 2020 Stage 1,"Thursday, Jul 2 2020, 21:00 UTC",Latin America
Team Secret vs Virtus.pro,European League 2020 Stage 1,"Monday, Jul 6 2020, 17:00 UTC",Europe
Atheris Esports vs MeT,Campeonato Mexicano 2020 Stage 1,"Monday, Jul 6 2020, 0:00 UTC",Latin America
BDS Esport vs Rogue,European League 2020 Stage 1,"Monday, Jul 6 2020, 18:00 UTC",Europe
Atheris Esports vs Chivas esports,Campeonato Mexicano 2020 Stage 1,"Monday, Jun 29 2020, 0:00 UTC",Latin America
Timbers Esports vs Estral Esports,Campeonato Mexicano 2020 Stage 1,"Sunday, Jun 28 2020, 22:00 UTC",Latin America
Chaos vs Virtus.pro,European League 2020 Stage 1,"Monday, Jun 29 2020, 16:00 UTC",Europe
Team GoSkilla vs Samsung Morning Stars,PG Nationals Summer 2020 Finals,"Sunday, Jun 28 2020, 20:00 UTC",Europe
G2 Esports vs Team Empire,European League 2020 Stage 1,"Monday, Jun 29 2020, 17:00 UTC",Europe
BDS Esport vs Team Secret,European League 2020 Stage 1,"Monday, Jun 29 2020, 18:00 UTC",Europe
Natus Vincere vs Rogue,European League 2020 Stage 1,"Monday, Jun 29 2020, 19:00 UTC",Europe
Tempra Esports vs Team Vitality,European League 2020 Stage 1,"Monday, Jun 29 2020, 20:00 UTC",Europe
eUnited vs Disrupt Gaming,US Division 2020 Stage 1,"Monday, Jun 29 2020, 22:00 UTC",North America
Fnatic vs NORA-Rengo,APAC North Division 2020 Stage 1,"Tuesday, Jun 30 2020, 10:30 UTC",Asia-Pacific
Talon Esports vs SCARZ,APAC North Division 2020 Stage 1,"Tuesday, Jun 30 2020, 9:30 UTC",Asia-Pacific
Tempo Storm vs Soniqs,US Division 2020 Stage 1,"Tuesday, Jun 30 2020, 1:00 UTC",North America
Electrify Esports vs Q-Confirm,APAC North Division 2020 Stage 1,"Tuesday, Jun 30 2020, 14:30 UTC",Asia-Pacific
Cloud9 vs GUTS Gaming,APAC North Division 2020 Stage 1,"Tuesday, Jun 30 2020, 11:30 UTC",Asia-Pacific
Team Empire vs Natus Vincere,European League 2020 Stage 1,"Wednesday, Jul 1 2020, 16:00 UTC",Europe
Xavier Esports vs FAV Gaming,APAC North Division 2020 Stage 1,"Tuesday, Jun 30 2020, 13:30 UTC",Asia-Pacific
CYCLOPS athlete gaming vs Giants Gaming,APAC North Division 2020 Stage 1,"Tuesday, Jun 30 2020, 12:30 UTC",Asia-Pacific
Virtus.pro vs Team Vitality,European League 2020 Stage 1,"Wednesday, Jul 1 2020, 17:00 UTC",Europe
Rogue vs Chaos,European League 2020 Stage 1,"Wednesday, Jul 1 2020, 19:00 UTC",Europe
G2 Esports vs BDS Esport,European League 2020 Stage 1,"Wednesday, Jul 1 2020, 18:00 UTC",Europe
Cloud9 vs Talon Esports,APAC North Division 2020 Stage 1,"Tuesday, Jun 23 2020, 11:30 UTC",Asia-Pacific
Lowland Lions vs Sector One,Benelux League Season 5 Finals,"Sunday, Jun 21 2020, 14:00 UTC",Europe
Sector One vs Epsilon eSports,Benelux League Season 5 Finals,"Saturday, Jun 20 2020, 15:00 UTC",Europe
Team Empire vs Virtus.pro,European League 2020 Stage 1,"Monday, Jun 22 2020, 16:00 UTC",Europe
Team Vitality vs BDS Esport,European League 2020 Stage 1,"Monday, Jun 22 2020, 18:00 UTC",Europe
Tempra Esports vs Chaos,European League 2020 Stage 1,"Monday, Jun 22 2020, 17:00 UTC",Europe
Spacestation Gaming vs eUnited,US Division 2020 Stage 1,"Monday, Jun 22 2020, 22:00 UTC",North America
G2 Esports vs Rogue,European League 2020 Stage 1,"Monday, Jun 22 2020, 19:00 UTC",Europe
Team SoloMid vs Tempo Storm,US Division 2020 Stage 1,"Tuesday, Jun 23 2020, 1:30 UTC",North America
Q-Confirm vs NORA-Rengo,APAC North Division 2020 Stage 1,"Tuesday, Jun 23 2020, 13:30 UTC",Asia-Pacific
Fnatic vs Giants Gaming,APAC North Division 2020 Stage 1,"Tuesday, Jun 23 2020, 10:30 UTC",Asia-Pacific
SCARZ vs Electrify Esports,APAC North Division 2020 Stage 1,"Tuesday, Jun 23 2020, 14:30 UTC",Asia-Pacific
GUTS Gaming vs Xavier Esports,APAC North Division 2020 Stage 1,"Tuesday, Jun 23 2020, 12:30 UTC",Asia-Pacific
FAV Gaming vs Talon Esports,APAC North Division 2020 Stage 1,"Thursday, Jun 25 2020, 9:30 UTC",Asia-Pacific
Natus Vincere vs Team Secret,European League 2020 Stage 1,"Monday, Jun 22 2020, 20:00 UTC",Europe
CYCLOPS athlete gaming vs FAV Gaming,APAC North Division 2020 Stage 1,"Tuesday, Jun 23 2020, 9:30 UTC",Asia-Pacific
Xavier Esports vs Fnatic,APAC North Division 2020 Stage 1,"Thursday, Jun 25 2020, 11:30 UTC",Asia-Pacific
Mouseplayz vs El Whiz Wranglers,Benelux League Season 5,"Wednesday, Jun 3 2020, 20:00 UTC",Europe
SCARZ vs NORA-Rengo,APAC North Division 2020 Stage 1,"Thursday, Jun 25 2020, 10:30 UTC",Asia-Pacific
El Whiz Wranglers vs UX Gaming,Benelux League Season 5,"Thursday, Jun 4 2020, 17:00 UTC",Europe
Mkers vs Notorious Legion Esport,PG Nationals Summer 2020,"Wednesday, Jun 3 2020, 20:00 UTC",Europe
Hummingbirds vs devils.one,Polish Masters 2020,"Thursday, Jun 4 2020, 17:00 UTC",Europe
AVEZ vs Izako Boars,Polish Masters 2020,"Thursday, Jun 4 2020, 18:00 UTC",Europe
Sector One vs mCon esports,Benelux League Season 5,"Wednesday, Jun 3 2020, 19:00 UTC",Europe
PACT vs Invicta Gaming,Polish Masters 2020,"Thursday, Jun 4 2020, 19:00 UTC",Europe
SLAVGENT vs PRIDE,Polish Masters 2020,"Thursday, Jun 4 2020, 20:00 UTC",Europe
Mouseplayz vs Sector One,Benelux League Season 5,"Thursday, Jun 4 2020, 18:00 UTC",Europe
Lowland Lions vs mCon esports,Benelux League Season 5,"Thursday, Jun 4 2020, 20:00 UTC",Europe
Epsilon eSports vs Team XY,Benelux League Season 5,"Thursday, Jun 4 2020, 19:00 UTC",Europe
IGP vs Samsung Morning Stars,PG Nationals Summer 2020,"Monday, Jun 8 2020, 18:00 UTC",Europe
Mkers vs Mad Wizards,PG Nationals Summer 2020,"Monday, Jun 8 2020, 17:00 UTC",Europe
Notorious Legion Esport vs Team GoSkilla,PG Nationals Summer 2020,"Monday, Jun 8 2020, 19:00 UTC",Europe
Team XY vs El Whiz Wranglers,Benelux League Season 5,"Thursday, May 14 2020, 19:00 UTC",Europe
mCon esports vs Epsilon eSports,Benelux League Season 5,"Thursday, May 14 2020, 18:00 UTC",Europe
UX Gaming vs Mouseplayz,Benelux League Season 5,"Thursday, May 14 2020, 20:00 UTC",Europe
Mkers vs Team GoSkilla,PG Nationals Summer 2020,"Tuesday, May 19 2020, 18:00 UTC",Europe
Samsung Morning Stars vs Outplayed,PG Nationals Summer 2020,"Tuesday, May 19 2020, 20:00 UTC",Europe
Epsilon eSports vs DefuseKids,Benelux League Season 5,"Wednesday, May 20 2020, 17:00 UTC",Europe
Sector One vs UX Gaming,Benelux League Season 5,"Wednesday, May 20 2020, 19:00 UTC",Europe
Mouseplayz vs Team XY,Benelux League Season 5,"Wednesday, May 20 2020, 18:00 UTC",Europe
El Whiz Wranglers vs mCon esports,Benelux League Season 5,"Wednesday, May 20 2020, 20:00 UTC",Europe
IGP vs Mad Wizards,PG Nationals Summer 2020,"Tuesday, May 19 2020, 19:00 UTC",Europe
Notorious Legion Esport vs Cyberground Gaming,PG Nationals Summer 2020,"Tuesday, May 19 2020, 17:00 UTC",Europe
mCon esports vs Mouseplayz,Benelux League Season 5,"Thursday, May 21 2020, 17:00 UTC",Europe
Epsilon eSports vs Sector One,Benelux League Season 5,"Thursday, May 21 2020, 19:00 UTC",Europe
DefuseKids vs El Whiz Wranglers,Benelux League Season 5,"Thursday, May 21 2020, 18:00 UTC",Europe
Team XY vs UX Gaming,Benelux League Season 5,"Thursday, May 21 2020, 20:00 UTC",Europe
mCon esports vs UX Gaming,Benelux League Season 5,"Thursday, Apr 30 2020, 18:00 UTC",Europe
GiFu eSports vs PENTA Sports,Challenger League Season 11 Europe,"Friday, May 1 2020, 17:00 UTC",Europe
Team GoSkilla vs Outplayed,PG Nationals Summer 2020,"Tuesday, May 26 2020, 17:00 UTC",Europe
Epsilon eSports vs El Whiz Wranglers,Benelux League Season 5,"Thursday, Apr 30 2020, 19:00 UTC",Europe
Salamander vs CR4ZY,Challenger League Season 11 Europe,"Friday, May 1 2020, 17:00 UTC",Europe
Salamander vs CR4ZY,Challenger League Season 11 Europe,"Friday, May 1 2020, 18:00 UTC",Europe
Team XY vs Sector One,Benelux League Season 5,"Thursday, Apr 30 2020, 20:00 UTC",Europe
GiFu eSports vs PENTA Sports,Challenger League Season 11 Europe,"Friday, May 1 2020, 18:00 UTC",Europe
IziDream vs Team Secret,Challenger League Season 11 Europe,"Friday, May 1 2020, 20:00 UTC",Europe
OrgLess vs DefuseKids,Challenger League Season 11 Europe,"Friday, May 1 2020, 19:00 UTC",Europe
IziDream vs Team Secret,Challenger League Season 11 Europe,"Friday, May 1 2020, 19:00 UTC",Europe
OrgLess vs DefuseKids,Challenger League Season 11 Europe,"Friday, May 1 2020, 20:00 UTC",Europe
Shook Squad vs bruh,Challenger League Season 11 North America,"Saturday, May 2 2020, 1:00 UTC",North America
Shook Squad vs bruh,Challenger League Season 11 North America,"Saturday, May 2 2020, 0:00 UTC",North America
PogChamp vs Ōkami,Challenger League Season 11 North America,"Saturday, May 2 2020, 0:00 UTC",North America
PogChamp vs Ōkami,Challenger League Season 11 North America,"Saturday, May 2 2020, 1:00 UTC",North America
Senshi vs joe esports,Challenger League Season 11 North America,"Saturday, May 2 2020, 2:00 UTC",North America
Team Reckless vs Vanquish Gaming,Challenger League Season 11 North America,"Saturday, May 2 2020, 2:00 UTC",North America
DefuseKids vs Mouseplayz,Benelux League Season 5,"Thursday, Apr 30 2020, 17:00 UTC",Europe
SuperNova Team e-Sports vs FURIA Esports,Challenger League Season 11 Latin America,"Sunday, Apr 26 2020, 1:00 UTC",Latin America
SuperNova Team e-Sports vs FURIA Esports,Challenger League Season 11 Latin America,"Sunday, Apr 26 2020, 0:00 UTC",Latin America
N/A ORG vs 100ORG,Challenger League Season 11 Latin America,"Sunday, Apr 26 2020, 1:00 UTC",Latin America
Team GoSkilla vs IGP,PG Nationals Summer 2020,"Monday, Apr 27 2020, 17:00 UTC",Europe
Samsung Morning Stars vs Mad Wizards,PG Nationals Summer 2020,"Monday, Apr 27 2020, 20:00 UTC",Europe
Cyberground Gaming vs Mkers,PG Nationals Summer 2020,"Monday, Apr 27 2020, 18:00 UTC",Europe
Outplayed vs Notorious Legion Esport,PG Nationals Summer 2020,"Monday, Apr 27 2020, 19:00 UTC",Europe
Vanquish Gaming vs PogChamp,Challenger League Season 11 North America,"Tuesday, Apr 28 2020, 0:00 UTC",North America
Team Reckless vs bruh,Challenger League Season 11 North America,"Tuesday, Apr 28 2020, 0:00 UTC",North America
Team Reckless vs bruh,Challenger League Season 11 North America,"Tuesday, Apr 28 2020, 1:00 UTC",North America
joe esports vs Shook Squad,Challenger League Season 11 North America,"Tuesday, Apr 28 2020, 2:00 UTC",North America
joe esports vs Shook Squad,Challenger League Season 11 North America,"Tuesday, Apr 28 2020, 3:00 UTC",North America
Vanquish Gaming vs PogChamp,Challenger League Season 11 North America,"Tuesday, Apr 28 2020, 1:00 UTC",North America
Ōkami vs Senshi,Challenger League Season 11 North America,"Tuesday, Apr 28 2020, 3:00 UTC",North America
Mad Wizards vs Mkers,PG Nationals Summer 2020,"Tuesday, Apr 28 2020, 17:00 UTC",Europe
Team Secret vs OrgLess,Challenger League Season 11 Europe,"Tuesday, Apr 28 2020, 17:00 UTC",Europe
CR4ZY vs IziDream,Challenger League Season 11 Europe,"Tuesday, Apr 28 2020, 17:00 UTC",Europe
Ōkami vs Senshi,Challenger League Season 11 North America,"Tuesday, Apr 28 2020, 2:00 UTC",North America
Team GoSkilla vs Notorious Legion Esport,PG Nationals Summer 2020,"Tuesday, Apr 28 2020, 18:00 UTC",Europe
CR4ZY vs IziDream,Challenger League Season 11 Europe,"Tuesday, Apr 28 2020, 18:00 UTC",Europe
Team Secret vs OrgLess,Challenger League Season 11 Europe,"Tuesday, Apr 28 2020, 18:00 UTC",Europe
Cyberground Gaming vs Outplayed,PG Nationals Summer 2020,"Tuesday, Apr 28 2020, 19:00 UTC",Europe
Outplayed vs IGP,PG Nationals Summer 2020,"Tuesday, Apr 21 2020, 19:00 UTC",Europe
Notorious Legion Esport vs Mkers,PG Nationals Summer 2020,"Tuesday, Apr 21 2020, 20:00 UTC",Europe
VerTu Clan vs Guardians Imperium E-Sports,Challenger League Season 11 Latin America,"Tuesday, Apr 21 2020, 22:00 UTC",Latin America
Falkol vs FURIA Esports,Challenger League Season 11 Latin America,"Tuesday, Apr 21 2020, 22:00 UTC",Latin America
Samsung Morning Stars vs Team GoSkilla,PG Nationals Summer 2020,"Tuesday, Apr 21 2020, 18:00 UTC",Europe
VerTu Clan vs Guardians Imperium E-Sports,Challenger League Season 11 Latin America,"Tuesday, Apr 21 2020, 23:00 UTC",Latin America
Falkol vs FURIA Esports,Challenger League Season 11 Latin America,"Tuesday, Apr 21 2020, 23:00 UTC",Latin America
Fearow vs N/A ORG,Challenger League Season 11 Latin America,"Wednesday, Apr 22 2020, 0:00 UTC",Latin America
Fearow vs N/A ORG,Challenger League Season 11 Latin America,"Wednesday, Apr 22 2020, 1:00 UTC",Latin America
Sector One vs DefuseKids,Benelux League Season 5,"Wednesday, Apr 22 2020, 17:00 UTC",Europe
100ORG vs SuperNova Team e-Sports,Challenger League Season 11 Latin America,"Wednesday, Apr 22 2020, 1:00 UTC",Latin America
100ORG vs SuperNova Team e-Sports,Challenger League Season 11 Latin America,"Wednesday, Apr 22 2020, 0:00 UTC",Latin America
Epsilon eSports vs mCon esports,Benelux League Season 5,"Wednesday, Apr 22 2020, 18:00 UTC",Europe
El Whiz Wranglers vs Team XY,Benelux League Season 5,"Wednesday, Apr 22 2020, 19:00 UTC",Europe
Mouseplayz vs UX Gaming,Benelux League Season 5,"Wednesday, Apr 22 2020, 20:00 UTC",Europe
UX Gaming vs Sector One,Benelux League Season 5,"Thursday, Apr 23 2020, 18:00 UTC",Europe
Team XY vs Mouseplayz,Benelux League Season 5,"Thursday, Apr 23 2020, 17:00 UTC",Europe
INTZ e-Sports vs Team Liquid,Pro League Season 11 Latin America,"Tuesday, Apr 14 2020, 23:15 UTC",Latin America
Team oNe Esports vs MIBR,Pro League Season 11 Latin America,"Wednesday, Apr 15 2020, 0:30 UTC",Latin America
Team Singularity vs Black Dragons,Pro League Season 11 Latin America,"Wednesday, Apr 15 2020, 1:45 UTC",Latin America
Salamander vs Team Secret,Challenger League Season 11 Europe,"Friday, Apr 17 2020, 17:00 UTC",Europe
Salamander vs Team Secret,Challenger League Season 11 Europe,"Friday, Apr 17 2020, 18:00 UTC",Europe
IziDream vs PENTA Sports,Challenger League Season 11 Europe,"Friday, Apr 17 2020, 17:00 UTC",Europe
IziDream vs PENTA Sports,Challenger League Season 11 Europe,"Friday, Apr 17 2020, 18:00 UTC",Europe
CR4ZY vs DefuseKids,Challenger League Season 11 Europe,"Friday, Apr 17 2020, 19:00 UTC",Europe
OrgLess vs GiFu eSports,Challenger League Season 11 Europe,"Friday, Apr 17 2020, 19:00 UTC",Europe
CR4ZY vs DefuseKids,Challenger League Season 11 Europe,"Friday, Apr 17 2020, 20:00 UTC",Europe
Ōkami vs bruh,Challenger League Season 11 North America,"Saturday, Apr 18 2020, 0:00 UTC",North America
OrgLess vs GiFu eSports,Challenger League Season 11 Europe,"Friday, Apr 17 2020, 20:00 UTC",Europe
Ōkami vs bruh,Challenger League Season 11 North America,"Saturday, Apr 18 2020, 1:00 UTC",North America
Team Reckless vs joe esports,Challenger League Season 11 North America,"Saturday, Apr 18 2020, 1:00 UTC",North America
Team Reckless vs joe esports,Challenger League Season 11 North America,"Saturday, Apr 18 2020, 0:00 UTC",North America
PogChamp vs Senshi,Challenger League Season 11 North America,"Saturday, Apr 18 2020, 2:00 UTC",North America
Vanquish Gaming vs Shook Squad,Challenger League Season 11 North America,"Saturday, Apr 18 2020, 2:00 UTC",North America
FaZe Clan vs Ninjas In Pyjamas,Pro League Season 11 Latin America,"Tuesday, Apr 14 2020, 22:00 UTC",Latin America
